date,year,month,day,season,rainfall,temperature,enterococci,day_num,month_num,month_name,season_name
02/01/2013,2013,1,2,1,0,23.4,6.7,2,1,January,Summer
06/01/2013,2013,1,6,1,0,30.3,2,6,1,January,Summer
12/01/2013,2013,1,12,1,0,31.4,69.1,12,1,January,Summer
18/01/2013,2013,1,18,1,0,46.4,9,18,1,January,Summer
24/01/2013,2013,1,24,1,0,27.5,33.9,24,1,January,Summer
30/01/2013,2013,1,30,1,0.6,26.6,26.5,30,1,January,Summer
05/02/2013,2013,2,5,1,0.1,25.7,66.9,36,2,February,Summer
11/02/2013,2013,2,11,1,8,22.2,117.5,42,2,February,Summer
17/02/2013,2013,2,17,1,13.6,26.3,75,48,2,February,Summer
23/02/2013,2013,2,23,1,7.2,24.8,310.6,54,2,February,Summer
01/03/2013,2013,3,1,2,28.6,21.2,135.4,60,3,March,Autumn
07/03/2013,2013,3,7,2,0,29.1,14.6,66,3,March,Autumn
13/03/2013,2013,3,13,2,0,29.4,3.5,72,3,March,Autumn
19/03/2013,2013,3,19,2,0,24.2,10.18181818,78,3,March,Autumn
25/03/2013,2013,3,25,2,0,25.8,57,84,3,March,Autumn
02/04/2013,2013,4,2,2,0,24.4,12.36363636,92,4,April,Autumn
06/04/2013,2013,4,6,2,12.6,22,43.63636364,96,4,April,Autumn
12/04/2013,2013,4,12,2,0,26.1,6.727272727,102,4,April,Autumn
18/04/2013,2013,4,18,2,7.8,23.2,8.454545455,108,4,April,Autumn
24/04/2013,2013,4,24,2,0,22.9,6.090909091,114,4,April,Autumn
01/05/2013,2013,5,1,2,0,24.4,6.090909091,121,5,May,Autumn
07/05/2013,2013,5,7,2,0,20,1.2,127,5,May,Autumn
14/05/2013,2013,5,14,2,0.4,19.3,9.2,134,5,May,Autumn
20/05/2013,2013,5,20,2,0,20.2,2.1,140,5,May,Autumn
25/05/2013,2013,5,25,2,11.4,18.6,17.1,145,5,May,Autumn
31/05/2013,2013,5,31,2,0,25,4.3,151,5,May,Autumn
06/06/2013,2013,6,6,3,0,21.8,4.1,157,6,June,Winter
12/06/2013,2013,6,12,3,0,16.2,160.9,163,6,June,Winter
17/06/2013,2013,6,17,3,0,16.4,24.22222222,168,6,June,Winter
24/06/2013,2013,6,24,3,55.6,15,32.5,175,6,June,Winter
30/06/2013,2013,6,30,3,60.8,15.7,845.2,181,6,June,Winter
06/07/2013,2013,7,6,3,0,18.5,5.3,187,7,July,Winter
12/07/2013,2013,7,12,3,0,20.8,2.5,193,7,July,Winter
18/07/2013,2013,7,18,3,0,23.3,4.2,199,7,July,Winter
24/07/2013,2013,7,24,3,0,16.1,47,205,7,July,Winter
30/07/2013,2013,7,30,3,0,20.1,2.4,211,7,July,Winter
08/08/2013,2013,8,8,3,10.4,13.3,30.3,220,8,August,Winter
14/08/2013,2013,8,14,3,0,24.7,0.8,226,8,August,Winter
16/08/2013,2013,8,16,3,0,21.7,0.2,228,8,August,Winter
22/08/2013,2013,8,22,3,0,19.4,3.9,234,8,August,Winter
29/08/2013,2013,8,29,3,0,22.8,0.4,241,8,August,Winter
02/09/2013,2013,9,2,4,0,24.4,0.4,245,9,September,Spring
10/09/2013,2013,9,10,4,0,33.6,4.4,253,9,September,Spring
16/09/2013,2013,9,16,4,1.8,18.1,46.72727273,259,9,September,Spring
22/09/2013,2013,9,22,4,0,24.2,4.727272727,265,9,September,Spring
28/09/2013,2013,9,28,4,0,30.4,2.090909091,271,9,September,Spring
04/10/2013,2013,10,4,4,3,18.8,3.545454545,277,10,October,Spring
12/10/2013,2013,10,12,4,0,26.8,1.818181818,285,10,October,Spring
20/10/2013,2013,10,20,4,0,28.3,3.363636364,293,10,October,Spring
28/10/2013,2013,10,28,4,33.8,23.3,54.45454545,301,10,October,Spring
05/11/2013,2013,11,5,4,0,19.9,16.36363636,309,11,November,Spring
13/11/2013,2013,11,13,4,8.8,29.7,4,317,11,November,Spring
21/11/2013,2013,11,21,4,0,27.1,15.72727273,325,11,November,Spring
29/11/2013,2013,11,29,4,NA,20.7,18.90909091,333,11,November,Spring
07/12/2013,2013,12,7,1,0,25.6,10.09090909,341,12,December,Summer
13/12/2013,2013,12,13,1,0,28.9,4.727272727,347,12,December,Summer
23/12/2013,2013,12,23,1,0,36.6,4.909090909,357,12,December,Summer
31/12/2013,2013,12,31,1,0,30.2,547.0909091,365,12,December,Summer
08/01/2014,2014,1,8,1,2.8,22.5,7.272727273,8,13,January,Summer
16/01/2014,2014,1,16,1,0,30.8,13.09090909,16,13,January,Summer
24/01/2014,2014,1,24,1,0,28.4,7.454545455,24,13,January,Summer
01/02/2014,2014,2,1,1,0,27.8,13.27272727,32,14,February,Summer
09/02/2014,2014,2,9,1,0,30.7,3.181818182,40,14,February,Summer
17/02/2014,2014,2,17,1,26.4,25.3,90.90909091,48,14,February,Summer
25/02/2014,2014,2,25,1,0,28.9,9.636363636,56,14,February,Summer
05/03/2014,2014,3,5,2,0.1,30.7,14.81818182,64,15,March,Autumn
13/03/2014,2014,3,13,2,17,24.7,41.90909091,72,15,March,Autumn
21/03/2014,2014,3,21,2,0.2,28.2,32,80,15,March,Autumn
29/03/2014,2014,3,29,2,0.8,23.5,73.45454545,88,15,March,Autumn
06/04/2014,2014,4,6,2,2.6,21.3,141.7272727,96,16,April,Autumn
14/04/2014,2014,4,14,2,3.4,19.1,8.909090909,104,16,April,Autumn
22/04/2014,2014,4,22,2,0,25.4,11,112,16,April,Autumn
30/04/2014,2014,4,30,2,3.6,23.9,39.63636364,120,16,April,Autumn
06/05/2014,2014,5,6,2,0,20.2,3.727272727,126,17,May,Autumn
12/05/2014,2014,5,12,2,0.6,20.2,7,132,17,May,Autumn
16/05/2014,2014,5,16,2,0,25.4,6.545454545,136,17,May,Autumn
22/05/2014,2014,5,22,2,0,26.5,5.909090909,142,17,May,Autumn
28/05/2014,2014,5,28,2,0,25.2,13.63636364,148,17,May,Autumn
03/06/2014,2014,6,3,3,0,20.8,3.4,154,18,June,Winter
10/06/2014,2014,6,10,3,11.4,18.5,168.3636364,161,18,June,Winter
19/06/2014,2014,6,19,3,0,21.2,3.818181818,170,18,June,Winter
26/06/2014,2014,6,26,3,0,22,12.09090909,177,18,June,Winter
03/07/2014,2014,7,3,3,0,17.9,9.636363636,184,19,July,Winter
08/07/2014,2014,7,8,3,0,18.8,3.272727273,189,19,July,Winter
14/07/2014,2014,7,14,3,0,16,0.909090909,195,19,July,Winter
18/07/2014,2014,7,18,3,0,15.8,2.727272727,199,19,July,Winter
24/07/2014,2014,7,24,3,0,19.8,1.818181818,205,19,July,Winter
01/08/2014,2014,8,1,3,0,19.8,2.818181818,213,20,August,Winter
05/08/2014,2014,8,5,3,0,18.3,3.363636364,217,20,August,Winter
11/08/2014,2014,8,11,3,0.8,13.1,18.72727273,223,20,August,Winter
15/08/2014,2014,8,15,3,0,17.6,2.727272727,227,20,August,Winter
21/08/2014,2014,8,21,3,15.2,17.5,18.81818182,233,20,August,Winter
27/08/2014,2014,8,27,3,16.6,17.8,38.63636364,239,20,August,Winter
02/09/2014,2014,9,2,4,0,17.8,0.545454545,245,21,September,Spring
08/09/2014,2014,9,8,4,1.4,20.8,8.818181818,251,21,September,Spring
12/09/2014,2014,9,12,4,NA,16.8,2.454545455,255,21,September,Spring
18/09/2014,2014,9,18,4,0,18,0.454545455,261,21,September,Spring
24/09/2014,2014,9,24,4,0,25.7,1.454545455,267,21,September,Spring
30/09/2014,2014,9,30,4,0,34.2,4.090909091,273,21,September,Spring
08/10/2014,2014,10,8,4,3.8,20,103.3636364,281,22,October,Spring
16/10/2014,2014,10,16,4,1,22.8,10,289,22,October,Spring
21/10/2014,2014,10,21,4,0.6,19.8,6.636363636,294,22,October,Spring
25/10/2014,2014,10,25,4,0.6,25.4,28.09090909,298,22,October,Spring
02/11/2014,2014,11,2,4,6,22.2,6.090909091,306,23,November,Spring
10/11/2014,2014,11,10,4,0,23,14.63636364,314,23,November,Spring
18/11/2014,2014,11,18,4,0,23.8,3.818181818,322,23,November,Spring
26/11/2014,2014,11,26,4,0,26,13.63636364,330,23,November,Spring
04/12/2014,2014,12,4,1,19.4,29.6,136.5454545,338,24,December,Summer
13/12/2014,2014,12,13,1,0,23.5,11.18181818,347,24,December,Summer
19/12/2014,2014,12,19,1,0,22.7,11.90909091,353,24,December,Summer
28/12/2014,2014,12,28,1,0.8,26.2,193,362,24,December,Summer
05/01/2015,2015,1,5,1,0,25.8,58.36363636,5,25,January,Summer
15/01/2015,2015,1,15,1,0,27.1,2.090909091,15,25,January,Summer
21/01/2015,2015,1,21,1,3.2,29.1,31.27272727,21,25,January,Summer
29/01/2015,2015,1,29,1,15.2,21.7,10.90909091,29,25,January,Summer
06/02/2015,2015,2,6,1,0,25.8,12.09090909,37,26,February,Summer
14/02/2015,2015,2,14,1,0.2,29.5,10.27272727,45,26,February,Summer
22/02/2015,2015,2,22,1,6.2,27.7,44.63636364,53,26,February,Summer
27/02/2015,2015,2,27,1,4,27,72,58,26,February,Summer
05/03/2015,2015,3,5,2,0,27.5,19.72727273,64,27,March,Autumn
09/03/2015,2015,3,9,2,0,31.3,6.363636364,68,27,March,Autumn
17/03/2015,2015,3,17,2,0,25.3,27.45454545,76,27,March,Autumn
25/03/2015,2015,3,25,2,23,23.2,18.81818182,84,27,March,Autumn
01/04/2015,2015,4,1,2,8,27,28.72727273,91,28,April,Autumn
09/04/2015,2015,4,9,2,0,20.4,17.72727273,99,28,April,Autumn
17/04/2015,2015,4,17,2,1.8,25.2,99.09090909,107,28,April,Autumn
27/04/2015,2015,4,27,2,7,18.2,31.36363636,117,28,April,Autumn
05/05/2015,2015,5,5,2,0.1,28.6,8.909090909,125,29,May,Autumn
11/05/2015,2015,5,11,2,0,22.2,9.545454545,131,29,May,Autumn
17/05/2015,2015,5,17,2,0.6,19.2,16.45454545,137,29,May,Autumn
22/05/2015,2015,5,22,2,10.4,17.4,402.3636364,142,29,May,Autumn
27/05/2015,2015,5,27,2,0,22.3,NA,147,29,May,Autumn
03/06/2015,2015,6,3,3,0,16.5,12.81818182,154,30,June,Winter
09/06/2015,2015,6,9,3,0,23.3,5.909090909,160,30,June,Winter
15/06/2015,2015,6,15,3,0.2,18.6,18.09090909,166,30,June,Winter
20/06/2015,2015,6,20,3,13.6,14.8,12.36363636,171,30,June,Winter
26/06/2015,2015,6,26,3,1,17.9,8.545454545,177,30,June,Winter
02/07/2015,2015,7,2,3,0,17.2,11.36363636,183,31,July,Winter
08/07/2015,2015,7,8,3,14.6,14.6,18.18181818,189,31,July,Winter
15/07/2015,2015,7,15,3,0,16.1,3.545454545,196,31,July,Winter
21/07/2015,2015,7,21,3,4.8,20.1,5.909090909,202,31,July,Winter
27/07/2015,2015,7,27,3,0,16.1,2.090909091,208,31,July,Winter
31/07/2015,2015,7,31,3,0,21.5,3.727272727,212,31,July,Winter
07/08/2015,2015,8,7,3,0,18.1,1.090909091,219,32,August,Winter
14/08/2015,2015,8,14,3,0,19,4.363636364,226,32,August,Winter
19/08/2015,2015,8,19,3,0,17.6,4.090909091,231,32,August,Winter
25/08/2015,2015,8,25,3,62.2,21.1,35.45454545,237,32,August,Winter
31/08/2015,2015,8,31,3,0,16.6,7,243,32,August,Winter
04/09/2015,2015,9,4,4,28.8,17.2,81.45454545,247,33,September,Spring
11/09/2015,2015,9,11,4,0,22.9,2,254,33,September,Spring
17/09/2015,2015,9,17,4,0,18.3,2.636363636,260,33,September,Spring
23/09/2015,2015,9,23,4,2.8,14.3,17.81818182,266,33,September,Spring
29/09/2015,2015,9,29,4,0,25,5.272727273,272,33,September,Spring
06/10/2015,2015,10,6,4,0,36.4,4,279,34,October,Spring
12/10/2015,2015,10,12,4,3.8,29.7,6.454545455,285,34,October,Spring
18/10/2015,2015,10,18,4,1.8,22.6,4.909090909,291,34,October,Spring
24/10/2015,2015,10,24,4,0,24,2.818181818,297,34,October,Spring
30/10/2015,2015,10,30,4,0,24.8,19.54545455,303,34,October,Spring
05/11/2015,2015,11,5,4,15.6,23.6,131,309,35,November,Spring
11/11/2015,2015,11,11,4,0.4,24.4,70.72727273,315,35,November,Spring
17/11/2015,2015,11,17,4,0,26.2,8.909090909,321,35,November,Spring
23/11/2015,2015,11,23,4,0,23.8,10,327,35,November,Spring
29/11/2015,2015,11,29,4,0.6,27.8,22.54545455,333,35,November,Spring
05/12/2015,2015,12,5,1,0,27.5,0.909090909,339,36,December,Summer
11/12/2015,2015,12,11,1,0.2,37,88.90909091,345,36,December,Summer
17/12/2015,2015,12,17,1,58,27.6,55.72727273,351,36,December,Summer
22/12/2015,2015,12,22,1,30,21.7,144.4545455,356,36,December,Summer
29/12/2015,2015,12,29,1,0,23.8,4.818181818,363,36,December,Summer
04/01/2016,2016,1,4,1,17.6,25.4,25.90909091,4,37,January,Summer
10/01/2016,2016,1,10,1,0,28.8,17.81818182,10,37,January,Summer
16/01/2016,2016,1,16,1,9.6,22.9,5.909090909,16,37,January,Summer
22/01/2016,2016,1,22,1,32.8,26.9,42.72727273,22,37,January,Summer
28/01/2016,2016,1,28,1,0.4,29.4,10.45454545,28,37,January,Summer
03/02/2016,2016,2,3,1,0,31,10.54545455,34,38,February,Summer
09/02/2016,2016,2,9,1,0,26.7,10.45454545,40,38,February,Summer
15/02/2016,2016,2,15,1,0,27.3,1.818181818,46,38,February,Summer
21/02/2016,2016,2,21,1,46.2,26.7,390.8181818,52,38,February,Summer
27/02/2016,2016,2,27,1,0,28.5,6.090909091,58,38,February,Summer
04/03/2016,2016,3,4,2,0,30.4,5,64,39,March,Autumn
10/03/2016,2016,3,10,2,0,25.3,27.90909091,70,39,March,Autumn
16/03/2016,2016,3,16,2,20.6,24,60.63636364,76,39,March,Autumn
22/03/2016,2016,3,22,2,41,21.3,20.90909091,82,39,March,Autumn
29/03/2016,2016,3,29,2,0,22,13.72727273,89,39,March,Autumn
04/04/2016,2016,4,4,2,27.8,24.3,385,95,40,April,Autumn
08/04/2016,2016,4,8,2,0,21.7,16.36363636,99,40,April,Autumn
15/04/2016,2016,4,15,2,0.4,26.3,10.81818182,106,40,April,Autumn
20/04/2016,2016,4,20,2,2.6,25,8,111,40,April,Autumn
28/04/2016,2016,4,28,2,0,27.2,27.18181818,119,40,April,Autumn
04/05/2016,2016,5,4,2,0,25.8,15.72727273,125,41,May,Autumn
10/05/2016,2016,5,10,2,0.2,25.2,24,131,41,May,Autumn
17/05/2016,2016,5,17,2,0,28.9,5.818181818,138,41,May,Autumn
23/05/2016,2016,5,23,2,0,28.3,7.545454545,144,41,May,Autumn
03/06/2016,2016,6,3,3,4.8,18.8,261.1818182,155,42,June,Winter
09/06/2016,2016,6,9,3,1,23.1,106.1818182,161,42,June,Winter
16/06/2016,2016,6,16,3,0,22.5,4.727272727,168,42,June,Winter
20/06/2016,2016,6,20,3,28.2,20.9,156,172,42,June,Winter
21/06/2016,2016,6,21,3,0,19.3,63.54545455,173,42,June,Winter
22/06/2016,2016,6,22,3,0,20.9,10,174,42,June,Winter
23/06/2016,2016,6,23,3,0,19.5,28,175,42,June,Winter
24/06/2016,2016,6,24,3,0,17.6,15,176,42,June,Winter
28/06/2016,2016,6,28,3,4.4,15.4,18.09090909,180,42,June,Winter
05/07/2016,2016,7,5,3,4.8,19.1,31.72727273,187,43,July,Winter
08/07/2016,2016,7,8,3,13.8,17.6,24.72727273,190,43,July,Winter
15/07/2016,2016,7,15,3,0,17.1,0.818181818,197,43,July,Winter
21/07/2016,2016,7,21,3,24.8,19.8,40.36363636,203,43,July,Winter
27/07/2016,2016,7,27,3,0,19.6,6.363636364,209,43,July,Winter
02/08/2016,2016,8,2,3,1,15.2,7.090909091,215,44,August,Winter
09/08/2016,2016,8,9,3,0,19.9,8.727272727,222,44,August,Winter
15/08/2016,2016,8,15,3,0,21.4,2.272727273,228,44,August,Winter
19/08/2016,2016,8,19,3,0,24.7,2.272727273,232,44,August,Winter
26/08/2016,2016,8,26,3,0,15.4,2.909090909,239,44,August,Winter
01/09/2016,2016,9,1,4,0,23.2,2.181818182,245,45,September,Spring
07/09/2016,2016,9,7,4,0,21.7,0.636363636,251,45,September,Spring
14/09/2016,2016,9,14,4,7,24.9,39.63636364,258,45,September,Spring
20/09/2016,2016,9,20,4,0,21.5,15.27272727,264,45,September,Spring
26/09/2016,2016,9,26,4,4.8,19.2,2.909090909,270,45,September,Spring
30/09/2016,2016,9,30,4,2,20.2,7.818181818,274,45,September,Spring
12/10/2016,2016,10,12,4,0,23.3,1.818181818,286,46,October,Spring
18/10/2016,2016,10,18,4,3.8,26.6,3.181818182,292,46,October,Spring
25/10/2016,2016,10,25,4,0,25.4,6.909090909,299,46,October,Spring
31/10/2016,2016,10,31,4,1.4,21.5,7.636363636,305,46,October,Spring
05/11/2016,2016,11,5,4,0,25.6,4.6,310,47,November,Spring
10/11/2016,2016,11,10,4,11.4,25,10.90909091,315,47,November,Spring
17/11/2016,2016,11,17,4,0,25.3,8.818181818,322,47,November,Spring
23/11/2016,2016,11,23,4,0,29.2,3.909090909,328,47,November,Spring
30/11/2016,2016,11,30,4,0,26.2,14.45454545,335,47,November,Spring
05/12/2016,2016,12,5,1,1.4,32.4,13,340,48,December,Summer
12/12/2016,2016,12,12,1,0,29,NA,347,48,December,Summer
16/12/2016,2016,12,16,1,32.2,26,563.6363636,351,48,December,Summer
22/12/2016,2016,12,22,1,0,25,6.363636364,357,48,December,Summer
29/12/2016,2016,12,29,1,0,38.2,16.81818182,364,48,December,Summer
05/01/2017,2017,1,5,1,10.4,25.5,7.545454545,5,49,January,Summer
11/01/2017,2017,1,11,1,0,38.8,78.54545455,11,49,January,Summer
17/01/2017,2017,1,17,1,0,37.7,3,17,49,January,Summer
23/01/2017,2017,1,23,1,0,35.2,3.090909091,23,49,January,Summer
30/01/2017,2017,1,30,1,0,36.4,11.18181818,30,49,January,Summer
04/02/2017,2017,2,4,1,0,32.3,7,35,50,February,Summer
09/02/2017,2017,2,9,1,3.8,32.2,21.09090909,40,50,February,Summer
15/02/2017,2017,2,15,1,20.1,27.7,12.54545455,46,50,February,Summer
21/02/2017,2017,2,21,1,0,27,2.818181818,52,50,February,Summer
27/02/2017,2017,2,27,1,8.2,26.6,84.27272727,58,50,February,Summer
03/03/2017,2017,3,3,2,14.2,25.1,144.0909091,62,51,March,Autumn
09/03/2017,2017,3,9,2,0.8,23.9,6.727272727,68,51,March,Autumn
16/03/2017,2017,3,16,2,10,27.3,23.90909091,75,51,March,Autumn
22/03/2017,2017,3,22,2,13,31.9,52,81,51,March,Autumn
28/03/2017,2017,3,28,2,0.1,24.3,96.54545455,87,51,March,Autumn
03/04/2017,2017,4,3,2,32.8,21.9,115.3636364,93,52,April,Autumn
07/04/2017,2017,4,7,2,0,24.2,15,97,52,April,Autumn
13/04/2017,2017,4,13,2,25.6,21.2,18.54545455,103,52,April,Autumn
21/04/2017,2017,4,21,2,0,25.7,3.272727273,111,52,April,Autumn
28/04/2017,2017,4,28,2,0,19.2,10.36363636,118,52,April,Autumn
04/05/2017,2017,5,4,2,1.2,20.1,12.81818182,124,53,May,Autumn
09/05/2017,2017,5,9,2,0.4,18.8,4,129,53,May,Autumn
10/05/2017,2017,5,10,2,0,19.5,5.363636364,130,53,May,Autumn
16/05/2017,2017,5,16,2,0.1,20.2,10.54545455,136,53,May,Autumn
22/05/2017,2017,5,22,2,0.2,21,38.90909091,142,53,May,Autumn
29/05/2017,2017,5,29,2,0,18.2,8.545454545,149,53,May,Autumn
01/06/2017,2017,6,1,3,0.6,16.1,3.909090909,152,54,June,Winter
08/06/2017,2017,6,8,3,57.8,17.6,45.54545455,159,54,June,Winter
14/06/2017,2017,6,14,3,5.2,18.4,26.09090909,165,54,June,Winter
20/06/2017,2017,6,20,3,5.6,18.4,23,171,54,June,Winter
26/06/2017,2017,6,26,3,0,18.3,17.63636364,177,54,June,Winter
30/06/2017,2017,6,30,3,0,15,8,181,54,June,Winter
11/07/2017,2017,7,11,3,0,16.7,3.181818182,192,55,July,Winter
17/07/2017,2017,7,17,3,0,19.9,2.454545455,198,55,July,Winter
24/07/2017,2017,7,24,3,0,21.4,14.45454545,205,55,July,Winter
28/07/2017,2017,7,28,3,0,19.4,7.272727273,209,55,July,Winter
03/08/2017,2017,8,3,3,7.4,18.1,26.09090909,215,56,August,Winter
09/08/2017,2017,8,9,3,0,19.9,2.818181818,221,56,August,Winter
16/08/2017,2017,8,16,3,0.4,23.3,1.454545455,228,56,August,Winter
22/08/2017,2017,8,22,3,0,18.7,2.727272727,234,56,August,Winter
29/08/2017,2017,8,29,3,0,17,0.909090909,241,56,August,Winter
01/09/2017,2017,9,1,4,1.8,16.6,1.636363636,244,57,September,Spring
07/09/2017,2017,9,7,4,0,21.8,6.181818182,250,57,September,Spring
13/09/2017,2017,9,13,4,0,35.3,2.181818182,256,57,September,Spring
19/09/2017,2017,9,19,4,0,24.5,8.454545455,262,57,September,Spring
25/09/2017,2017,9,25,4,0,28.8,2.636363636,268,57,September,Spring
29/09/2017,2017,9,29,4,0,27.6,0.090909091,272,57,September,Spring
05/10/2017,2017,10,5,4,0,26.8,1.545454545,278,58,October,Spring
11/10/2017,2017,10,11,4,0.2,25.3,4.818181818,284,58,October,Spring
17/10/2017,2017,10,17,4,0,25.4,0.909090909,290,58,October,Spring
23/10/2017,2017,10,23,4,8,21.3,12.27272727,296,58,October,Spring
25/10/2017,2017,10,25,4,0,31,42,298,58,October,Spring
27/10/2017,2017,10,27,4,21.6,23.1,124.6363636,300,58,October,Spring
03/11/2017,2017,11,3,4,0,31.3,10.72727273,307,59,November,Spring
09/11/2017,2017,11,9,4,0,23,5.272727273,313,59,November,Spring
15/11/2017,2017,11,15,4,0,26.7,1.636363636,319,59,November,Spring
21/11/2017,2017,11,21,4,0.6,23.9,8.181818182,325,59,November,Spring
27/11/2017,2017,11,27,4,0,27.1,2.181818182,331,59,November,Spring
04/12/2017,2017,12,4,1,0,18.7,64.90909091,338,60,December,Summer
08/12/2017,2017,12,8,1,0,29.8,3.454545455,342,60,December,Summer
14/12/2017,2017,12,14,1,0,36.1,4.545454545,348,60,December,Summer
20/12/2017,2017,12,20,1,0,39.9,16.45454545,354,60,December,Summer
28/12/2017,2017,12,28,1,0,29.3,2.181818182,362,60,December,Summer
03/01/2018,2018,1,3,1,4,23.8,20.54545455,3,61,January,Summer
09/01/2018,2018,1,9,1,15.6,32.8,582.0909091,9,61,January,Summer
15/01/2018,2018,1,15,1,1.6,23.4,81.54545455,15,61,January,Summer
19/01/2018,2018,1,19,1,0,32,10.45454545,19,61,January,Summer
25/01/2018,2018,1,25,1,0,28.9,3.272727273,25,61,January,Summer
01/02/2018,2018,2,1,1,0.8,22.1,36.27272727,32,62,February,Summer
07/02/2018,2018,2,7,1,0,29.1,2.636363636,38,62,February,Summer
13/02/2018,2018,2,13,1,0,28.8,50.81818182,44,62,February,Summer
19/02/2018,2018,2,19,1,0,28.8,5.181818182,50,62,February,Summer
25/02/2018,2018,2,25,1,0,21.8,10.81818182,56,62,February,Summer
02/03/2018,2018,3,2,2,0,25,27,61,63,March,Autumn
08/03/2018,2018,3,8,2,0,25.4,1.272727273,67,63,March,Autumn
14/03/2018,2018,3,14,2,10,28.2,24.54545455,73,63,March,Autumn
20/03/2018,2018,3,20,2,0,26.3,9.090909091,79,63,March,Autumn
26/03/2018,2018,3,26,2,7,27.8,17.45454545,85,63,March,Autumn
03/04/2018,2018,4,3,2,1.2,24.4,NA,93,64,April,Autumn
10/04/2018,2018,4,10,2,0.8,24.5,7,100,64,April,Autumn
16/04/2018,2018,4,16,2,0,30.8,35.09090909,106,64,April,Autumn
20/04/2018,2018,4,20,2,0,23.2,NA,110,64,April,Autumn
27/04/2018,2018,4,27,2,0,20.1,12.63636364,117,64,April,Autumn
02/05/2018,2018,5,2,2,0,24.4,7.181818182,122,65,May,Autumn
07/05/2018,2018,5,7,2,0,25.9,6.181818182,127,65,May,Autumn
11/05/2018,2018,5,11,2,0,18.1,9.090909091,131,65,May,Autumn
17/05/2018,2018,5,17,2,0.1,21.9,4.181818182,137,65,May,Autumn
23/05/2018,2018,5,23,2,0,20.4,1.636363636,143,65,May,Autumn
29/05/2018,2018,5,29,2,0,25.4,NA,149,65,May,Autumn
04/06/2018,2018,6,4,3,5.4,17,7.363636364,155,66,June,Winter
08/06/2018,2018,6,8,3,0.2,19,165,159,66,June,Winter
14/06/2018,2018,6,14,3,0,20.4,11.18181818,165,66,June,Winter
21/06/2018,2018,6,21,3,11,16.4,31.90909091,172,66,June,Winter
27/06/2018,2018,6,27,3,3.6,16.9,9.181818182,178,66,June,Winter
04/07/2018,2018,7,4,3,0.1,20.5,NA,185,67,July,Winter
10/07/2018,2018,7,10,3,0,16.7,42.09090909,191,67,July,Winter
16/07/2018,2018,7,16,3,0,19,3.545454545,197,67,July,Winter
20/07/2018,2018,7,20,3,0,21.3,3.272727273,201,67,July,Winter
26/07/2018,2018,7,26,3,0,18.8,1.272727273,207,67,July,Winter
01/08/2018,2018,8,1,3,0,21.4,3.363636364,213,68,August,Winter
08/08/2018,2018,8,8,3,0,20.5,0.818181818,220,68,August,Winter
14/08/2018,2018,8,14,3,0,22.9,5.272727273,226,68,August,Winter
21/08/2018,2018,8,21,3,0,18.1,0.909090909,233,68,August,Winter
24/08/2018,2018,8,24,3,3.8,17.7,37.09090909,236,68,August,Winter
30/08/2018,2018,8,30,3,0,16.8,6.363636364,242,68,August,Winter
05/09/2018,2018,9,5,4,0,17.8,5.454545455,248,69,September,Spring
12/09/2018,2018,9,12,4,0,26.9,8.818181818,255,69,September,Spring
19/09/2018,2018,9,19,4,0,29.9,4.454545455,262,69,September,Spring
24/09/2018,2018,9,24,4,0.4,16.7,8.272727273,267,69,September,Spring
28/09/2018,2018,9,28,4,0,31.3,5.727272727,271,69,September,Spring
05/10/2018,2018,10,5,4,30.2,16,191.7272727,278,70,October,Spring
11/10/2018,2018,10,11,4,17.4,17.7,NA,284,70,October,Spring
16/10/2018,2018,10,16,4,6.4,24.7,NA,289,70,October,Spring
